name,nationality,sport
Vladimir Aleksandrov,,Bobsledder
Vladimir Koslov,,Bobsledder
Vladimir Yesheyev,Soviet Union,Soviet archer
Volodymyr Bezsonov,Soviet Union,footballer
Jeannie Longo,France,French racing cyclist
Andreas Wenzel,Liechtenstein,Alpine skier
Liu Liping,,Handball player
Frank Mill,Germany,German footballer
Frank Schaffer,Germany,German sprinter
Martin Smith (swimmer),,Swimmer
Hermann Panzo,France,French athlete
Hervé Granger-Veyron,France,Fencer
Christina Lathan,Germany,East German sprinter
Christopher Dean,England,English figure skater
Wendy Weinberg,United States,American swimmer Olympic bronze medalist
José Manuel Abascal,,Athletics (sport) competitor
Karen O'Connor,United States,American equestrian
Kimie Morita,,Volleyball player
Jacques Lüthy,Alps,Alpine skier
Eric Verdonk,,Rower
Ermin Velić,,Handball player
Thomas Eriksson (ice hockey),Sweden,Swedish ice hockey player
Thomas Springel,,Handball player
Tom Erik Oxholm,,Speed skater
Lynn Silliman,United States,Olympic medalists in rowing
Greet Hellemans,,Rower
Greg Barton,,Olympic canoeist
Greg Johnston (rower),,Rower
Guido Grabow,,Rower
Håkan Södergren,Sweden,Ice hockey player
Yvonne Buter,,Field hockey player
Frode Rønning,Norway,Speed skater
Fyodor Cherenkov,Soviet Union,Russian footballer
Gaby Bußmann,,Athletics (sport) competitor
Gary Abraham,United Kingdom,Swimmer
Patrick Barré,France,French athlete
Pelle Lindbergh,Sweden,Swedish ice hockey player
Per Rasmussen,Denmark,Rower
Peter Allam,United Kingdom,Sailor
Peter Angerer,Germany,German biathlete
Dennis Koslowski,United States,Olympic wrestler
Desai Williams,,Athletics (sport) competitor
Robyn Maher,,Basketball player
Roland Wetzig,Germany,Bobsledder
Ronald Weigel,,Athletics (sport) competitor
Sören Claeson,Sweden,Olympic wrestler
Mike Hughes (rower),,Rower
Mircea Fulger,,Boxer
Ursula Konzett,Alps,Alpine skier
Uwe Schwenker,Germany,Handball player
Vagiz Khidiyatullin,Soviet Union,Russian footballer
Valdemaras Chomičius,Soviet Union,Basketball player
Sergei Alifirenko,,Sport shooter
Seth Bauer,United States,Olympic Rower
Siegfried Roch,,Handball player
Stefano Malinverni,Italy,Athletics (sport) competitor
Stephen Martin (field hockey),,Field hockey player
Hansjörg Kunze,,Athletics (sport) competitor
Heidi-Elke Gaugel,Germany,German sprinter
Henryk Petrich,,Boxer
Kornelia Kunisch,,Handball player
Ladislav Švanda,,Cross-country skier
Marc Alexandre,,Judoka
Maricel Voinea,,Handball player
Mark Kerry,Australia,Australian swimmer
Janusz Pawłowski,Poland,Polish judoka
Janusz Zarenkiewicz,Poland,Polish boxer
Edward Liddie,United States,Judoka
Jovica Nikolić,Yugoslavia,Serbian football player/manager
Jukka Rauhala,,Olympic wrestler
Becky Smith,Canada,Canadian wimmer
Anne Jardin,Canada,Canadian swimmer
Armin Görtz,Germany,German footballer
Oleg Zagorodnev,Soviet Union,Russian field hockey player
Orlando Maldonado,,Boxer
Paolo Vecchi,,Volleyball player
Pascal Barré,France,French athlete
Pascal Boucherit,,Canoe racer
Philippe Boccara,,Canoe racer
Philippe Médard,France,French handball player
Aleksandar Petrović (basketball),Yugoslavia,Croatian basketball player and coach
Aleksandr Goncharov,Soviet Union,Field hockey player
Aleksandr Miasnikov,Soviet Union,Field hockey player
Aleksandr Sychyov,Soviet Union,Field hockey player
Alexander Belostenny,,Basketball player
Richard Dodds,,Field hockey player
Richard Leman,,Field hockey player
Roberto Manzi,Italy,Italian fencer
David López-Zubero,Spain,Spanish-American college swimmer international swimmer Olympic bronze medalist swimming coach
Davis Phinney,United States,Road bicycle racer
George Keys,,Rower
Gertrúd Stefanek,Hungary,Fencer
Giancarlo Dametto,Italy,Volleyball player
Giovanni Scalzo,Italy,Fencer
Miyoko Hirose,,Olympic volleyball player
Mykhailo Tyshko,Ukraine,Fencer
Nataliya Matryuk,Soviet Union,Handball player
Beth Heiden,United States,American speed skater and racing cyclist
Vickey Dixon,,Field hockey player
Walter Pichler,,Olympic Biathlete
Joël Bettin,,Canoe racer
Andrey Luhin,,Rower
Andy Holmes,United Kingdom,Rower
Lesley Thompson,,Rower
Li Kongzheng,China,Diver
Li Meisu,,Athletics (sport) competitor
Ferdinando Meglio,Italy,Fencer
Florin Mina,Romania,Volleyball player
Franco Bertoli,Italy,Volleyball player
Mats Näslund,Sweden,Ice hockey player
Mauro Zuliani,Italy,Italian sprinter
Nina Fout,United States,Olympic equestrian
Hugh Russell,,Boxer
Ihar Maystrenko,,Rower
Christa Luding,Germany,German racing cyclist
Christian Schreier,Germany,German footballer and manager
Claudiu Eugen Ionescu,,Handball player
Claus Erhorn,,Equestrian
Saïd Aouita,Morocco,Moroccan runner Olympic and world 5000 m champion
Sabine Becker,Germany,German speed skater
Abdelhak Achik,,Boxer
Colin Beashel,,Sailor
Dagmar Lurz,Germany,German figure skater
Damir Škaro,Croatia,Croatian boxer and politician
Jonas Pinskus,,Rower
Jonathan McKee,,Sailor
Josef Reiter (judoka),,Judoka
Katalin Tuschák,Hungary,Hungarian fencer
Kathy Johnson,,Gymnast
Katrin Krüger,,Handball player
Iris Völkner,Germany,Rower
István Szelei,Hungary,Hungarian fencer
István Udvardi,Hungary,Hungarian water polo player
Ivailo Marinov,,Boxer
Ivar Stukolkin,Soviet Union,Swimmer
Ján Franek,,Boxer
Jürgen Schröder (water polo),Germany,Water polo player
Ellen Becker,Germany,Rower
Ellina Zvereva,Belarus,Belarusian athlete
Thierry Vigneron,,Athletics (sport) competitor
Thomas Rundqvist,Sweden,Swedish ice hockey player
Luís Onmura,,Judoka
Ludvík Vébr,,Rower
Lynn Jennings,United States,American long-distance runner
Lynn Kanuka-Williams,,Athletics (sport) competitor
Manfred Nerlinger,Germany,Olympic weightlifter
Manfred Zielonka,Poland,German boxer
Hagen Stamm,,Water polo player
Hanne Eriksen,Denmark,Rower
Yōsuke Yamamoto (judoka),Japan,Japanese judoka
Yelena Zhupiyeva-Vyazova,Ukraine,Ukrainian athlete
Yoko Kagabu,,Volleyball player
Patrick Groc,France,Fencer
Paul MacDonald,,Canoe racer
Perrine Pelen,Alps,Alpine skier
Dennis Stewart (judoka),,Judoka
Don Symon,,Rower
Ron Kiefel,United States,American racing cyclist
Roy Heiner,,Olympic sailor
Michael Jessen,Denmark,Rower
Mike Swain,United States,Judoka
Mirko Bašić,,Handball player
Tomas Jonsson,Sweden,Ice hockey player
Tomislav Ivković,Yugoslavia,Croatian football player/manager
Tommy Samuelsson,Sweden,Swedish ice hockey player
Tonie Campbell,,Athletics (sport) competitor
Tony Willis,England,Boxer
Torben Grael,Brazil,Sailor
Sergei Kopylov,Soviet Union,Soviet racing cyclist
Sergei Ponomarenko,United States,Figure skater
Shinji Hosokawa,,Judoka
Hendrik Jan Kooijman,,Field hockey player
Krzysztof Kosedowski,Poland,Polish boxer
Kyoko Ishida,,Volleyball player
Laetitia Meignan,,Judoka
Lars-Gunnar Pettersson,Sweden,Swedish ice hockey player
Lars Nielsen,Denmark,Rower
Marcus Mattioli,Brazil,Swimmer
Marek Dopierała,Poland,Polish canoeist
Marieke van Doorn,,Field hockey player
Marius Căta-Chiţiga,Romania,Volleyball player
Marko Elsner,Slovenia,retired Slovenian football player who played the defender position
Jari Kurri,Finland,Ice hockey player
Judy Strong,United States,Field hockey player
Barbara Mensing,,Archer
Barrie Mabbott,,Rower
Annelies Maas,Netherlands,Swimmer
António Leitão,Portugal,Athletics (sport) competitor
Antoine Richard,France,French athlete
Ole Gunnar Fidjestøl,Norway,Norwegian ski jumper
Oleksandr Mantsevych,,Rower
Oleksandr Tkachenko (rower),,Rower
Otakar Janecký,Czechoslovakia,Ice hockey player
Philippe Debureau,,Handball player
Philippe Omnès,France,Fencer
Alexandru Buligan,,Handball player
Rimas Kurtinaitis,Soviet Union,Lithuanian basketball player and coach
Susanne Nielsson,,Swimmer
Sverre Løken,,Rower
Teodora Ungureanu,Romania,Gymnast
Gheorghe Dogărescu,,Handball player
Giovanni Errichiello,Italy,Volleyball player
Mohamed Zaoui,Algeria,Algerian boxer
Muhammed Memić,,Handball player
Narcisco Suárez,,Canoe racer
Natalya Anisimova (handballer),Soviet Union,Handball player
Nate Carr,,Olympic wrestler
Birgit Treiber,Germany,Swimmer
Branko Miljuš,Yugoslavia,footballer
Bruce Baumgartner,,Olympic wrestler
Bruno Rossetti,,Olympic bronze skeet shooting
Vanja Gesheva-Tsvetkova,,Canoe racer
Vladimir Dolgov,,Swimmer
Waldo Kantor,,Volleyball player
Wang Yifu,China,Sport shooter
Jean-Luc Thiébaut,,Handball player
Jeff Stork,United States,Volleyball player
Anders Eldebrink,Sweden,Ice hockey player
Andrea Benelli,Italy,Sport shooter
Andrea Ehrig-Mitscherlich,Germany,Speed skater
Andreas Thiel,,Handball player
Andrew Astbury,United Kingdom,Swimmer
Andriy Tishchenko,,Rower
Ljubomir Radanović,Yugoslavia,footballer
Frank Leistra,,Field hockey player
Matthias Jacob,Germany,German biathlete
Mehmed Baždarević,Yugoslavia,Yugoslav footballer
Merlene Ottey,,Athletics (sport) competitor sprinter
Igor Larionov,Soviet Union,Russian retired ice hockey player
Igor Liba,Czechoslovakia,Ice hockey player
Igor Nikulin (athlete),Soviet Union,Soviet and Russian hammer thrower
Chris White (rower),,Rower
Christopher Rinke,,Olympic wrestler
Sean Kerly,,Field hockey player
Akinobu Osako,,Judoka
Cameron Henning,,Swimmer
Costicǎ Olaru,,Canoe racer
John Millen (sailor),,Sailor
Johnny Gray,,Athletics (sport) competitor middle distance runner
Jonas Narmontas,,Rower
Kathleen McGahey,United States,Field hockey player
Kathy Smallwood-Cook,United States,Athletics (sport) competitor
Kelly McCormick,United States,Diver
Kevin Lawton,,Rower
Kevin Still,United States,Former American Olympic rower.
Étienne Dagon,,Swimmer
Innocent Egbunike,Nigeria,Nigerian sprinter
Irfan Smajlagić,,Handball player
István Busa,Hungary,Fencer
Ivan Pudar,Yugoslavia,Croatian footballer
János Váradi,Hungary,Boxer
Jörg Freimuth,Germany,German high jumper
Eric Jespersen,United States,Sailor
Esteban Martínez,,Volleyball player
Tetyana Dorovskikh,,Athletics (sport) competitor
Gottlieb Taschler,Italy,Italian biathlete
Gustav Weder,,Bobsledder
Wolfram Wuttke,Germany,German footballer
Yang Xilan,China,Chinese volleyball player
Yordanka Donkova,,Athletics (sport) competitor
Zlatko Saračević,Croatia,Croatian handball player
Gabi Zange,Germany,German speed skater
Gavin Thredgold,,Rower
Georg Tallberg,,Sailor
Peter Evans (swimmer),United Kingdom,Australian swimmer
Didier Bouvet,Alps,Alpine skier
Didier Hoyer,,Canoe racer
Didier Vavasseur,,Canoe racer
Dimitrie Popescu,,Rower
Douglas Partie,United States,Volleyball player
Rolando Pušnik,,Handball player
Ross Tong,,Rower
Michael Schulz,Germany,German footballer
Mihai Cioc,,Judoka
Mikael Örn,Sweden,Swimmer
Miloslav Hořava,Czechoslovakia,Ice hockey player
Tony Sharpe,,Athletics (sport) competitor
Tracy Wilson,Quebec,Figure skater
Ute Oberhoffner,Germany,Luger
Stephen Batchelor (field hockey),United Kingdom,British field hockey player
Sterling Hinds,Canada,Athletics (sport) and football competitor
Steven Wood,Australia,Australian canoeist
Hans Sennewald,,Rower
Harriet van Ettekoven,,Rower
Kirsten Emmelmann,Germany,German sprinter
Marc Benninga,,Field hockey player
Maria Filatova,Soviet Union,Gymnast
Marina Logvinenko,,Sport shooter
Marina Znak,,Rower
Marjolein Eijsvogel,,Field hockey player
Dumitru Berbece,,Handball player
Juris Tone,,Bobsledder
Angelo Mazzoni,Italy,Fencer
Anke Behmer,Germany,German heptathlete
Ansgar Wessling,,Rower
Arístides González,Puerto Rico,Boxer
Oleg Bozhev,,Speed skater
Ralf Sievers,Germany,German footballer
René Klaassen,Netherlands,Dutch field hockey player
Alain Portes,France,Handball player
Robert Wells (boxer),United Kingdom,Boxer
Stjepan Deverić,Yugoslavia,Yugoslav/Croatian footballer
Sue Hearnshaw,United Kingdom,British athlete
Sun Xiulan,,Handball player
Daniele Laumann,,Rower
David Mercer (weightlifter),United Kingdom,Weightlifter
Gintaras Krapikas,Soviet Union,Professional basketball player and coach
Myriam Fox-Jerusalmi,France,Canoe racer
Nadia Comăneci,Romania,Gymnast
Nancy Garapick,Canada,Canadian Olympic swimmer
Natalia Shaposhnikova,,Gymnast
Ben Johnson (sprinter),Jamaica,Athletics (sport) competitor
Ben Spijkers,,Judoka
Bernd Dittert,Germany,German racing cyclist
Bill Scherr,United States,Olympic wrestler
Blyth Tait,,Equestrian
Brad Gilbert,United States,Tennis player
Brenda Stauffer,United States,Field hockey player
Brian Diemer,,Athletics (sport) competitor
Britt Pettersen,,Cross-country skier
Calvin Smith,United States,Runner
Vaughn Jefferis,,Equestrian
Veselin Vujović,,Handball player
Vida Vencienė,Soviet Union,Cross-country skier
Viktor Deputatov,Soviet Union,Field hockey player
Wang Mingxing,,Handball player
Jette Sørensen,Denmark,Rower
Jill Sterkel,United States,American swimmer Olympic gold medalist former world record-holder college swimming coach
Jožef Holpert,,Handball player
Anders Järryd,Sweden,Tennis player
Andrés Simón,,Athletics (sport) competitor
Andrew Nicholson (equestrian),,Equestrian
Li Lan,,Handball player
Liu Yumei,,Handball player
Fatima Whitbread,United Kingdom,British athlete; former javelin thrower
Frédéric Perez,,Handball player
Mary King (equestrian),United Kingdom,British equestrian sportswoman
Mary Nevill (field hockey),,Field hockey player
Nicolette Hellemans,,Rower
Hidde Kruize,,Field hockey player
Ian Edmunds,,Rower
Ian Wright (rower),,Rower
Christa Kinshofer,Alps,Alpine skier
Chun Chil-Sung,,Boxer
Sabine Everts,,Athletics (sport) competitor
Sandra Jenkins,Saskatchewan,Curler
Sandy Lister,,Field hockey player
Santiago Lange,,Sailor
Adrian Simion,,Handball player
Agneta Andersson,,Canoe racer
Akira Kuroiwa,Japan,Japanese speed skater
Catharina Neelissen,,Rower
Werner Günthör,,Athletics (sport) competitor
Clyde Hefer,,Rower
Craig Muller,,Rower
Daniel Castellani,,Volleyball player
Jon Uriarte,,Volleyball player
Jonathan Smith (rower),,Olympic medalist in rowing
Karin Enke,Germany,Speed skater
Katrin Dörre-Heinig,,Athletics (sport) competitor
Kayoko Sugiyama,,Volleyball player
Ken Wark,,Field hockey player
Kim Jin-Ho,,Olympic medalist in archery
Kim Turner,,Athletics (sport) competitor
Éva Rakusz,,Canoe racer
Jörg Vaihinger,Germany,German sprinter
Jack Pierce (athlete),United States,American sprint hurdler
Jackie Joyner-Kersee,United States,Athletics (sport) competitor multi-event heptathlete long jumper hurdler
Emiko Odaka,,Volleyball player
Ernst Reiter,Germany,German biathlete
Thomas Jefferson (athlete),,Athletics (sport) competitor
Thomas Lejdström,Sweden,Swimmer
Thomas Schwab,,Luger
Tim Daggett,,Gymnast
Tomáš Jelínek,Czechoslovakia,Ice hockey player
Lynda Cornet,,Rower
Magdalena Georgieva,,Rower
Goran Perkovac,,Handball player
Gordana Perkučin,,Table tennis player
Graham Brookhouse,United States,Modern pentathlete
Guntis Osis,,Bobsledder
György Guczoghy,Hungary,Olympic gymnast
Yelena Kruglova,Soviet Union,Swimmer
Zheng Meizhu,China,Chinese volleyball player
Zlatko Portner,,Handball player
Zsuzsanna Szőcs,Hungary,Fencer
František Procházka,,Ice hockey player
Galina Chistyakova,,Athletics (sport) competitor
Galina Malchugina,,Athletics (sport) competitor
Gao E (sport shooter),,Sport shooter
Paula Weishoff,United States,Volleyball player
Pedro Nolasco,Dominican Republic,Boxer
Peter Åslin,Sweden,Swedish ice hockey player
Rodica Arba,Romania,Olympic rower of Romania
Rolf Gölz,Germany,Road bicycle racer
Rudolf Povarnitsyn,Ukraine,Ukrainian high jumper
Michael Roth (handball),,Handball player
Michael Söderlund,Sweden,Swimmer
Michel Nowak,,Judoka
Mirsad Baljić,Yugoslavia,Footballer
Tomas Johansson (wrestler),,Olympic wrestler
Tsutomu Sakamoto,Japan,Japanese racing cyclist
Tsvetanka Khristova,,Athletics (sport) competitor
Ulrich Roth (handballer),,Handball player
Valentina Ilieva,,Volleyball player
Seppo Räty,Finland,Athletics (sport) competitor
Slobodan Kuzmanovski,,Handball player
Stig-Arne Gunnestad,,Curler
Heike Kemmer,,Equestrian
Heiko Habermann,Germany,Rower
Henning Lynge Jakobsen,,Canoe racer
Laurien Willemse,Netherlands,Dutch field hockey player
Manuela Mager,Germany,German pair skater
John Cutler (yachtsman),,Sailor
Jukka Tammi,Finland,Ice hockey player
Karen Brancourt,,Rower
Anne van Olst,,Equestrian
Olaf Heukrodt,,Canoe racer
Oleg Vitalyevich Makarov,United States,Russian pair skater
Olga Charvátová,Alps,Alpine skier
Raúl Quiroga,,Volleyball player
Razif Sidek,Malaysia,Malaysian badminton player
René Schöfisch,,Speed skater
Philippe Renaud,,Canoe racer
Piotr Kiełpikowski,Poland,Fencer
Pius Schwizer,Switzerland,Equestrian
Robin Corsiglia,,Swimmer
Sunday Uti,Nigeria,Nigerian sprinter
Susan Chapman,,Rower
Susan DeMattei,United States,American racing cyclist
Svitlana Mankova,Soviet Union,Handball player
Sylvia Albrecht,,Speed skater
Tammy Jackson,United States,American college basketball player professional basketball player center Olympic bronze medalist
Evander Holyfield,United States,world champion boxer from the United States
Georgy Tenadze,Soviet Union,Judoka
Glenys Bakker,,Curler
Mustapha Moussa,Algeria,Boxer
Natalya Lapitskaya,Soviet Union,Handball player
Bengt Baron,Sweden,Swimmer
Bernard Brégeon,,Canoe racer
Bojan Prešern,,Rower
Borislav Cvetković,Yugoslavia,footballer
